"R0000100","R0004500","R0005500","R0005700","R0005900","R0006000","R0006800","R0007200","R0007500","R0009100","R0011600","R0011800","R0012800","R0013700","R0014100","R0441100","R0443000","R0443300","R0443900","R0444300","R0444400","R0444500","R0444600","R0446200","R0446500","R0450100","R0457200","R0492100","R0492300","R0492500","R0492700","R0492900","R0493100","R0493300","R0493500","R0493700","R0493900","R0494100","R0499200","R0527200","R0527500","R0529400"
1439,2,-4,-4,-4,-4,-4,-4,-4,6,7,2,2,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,1,2,4,2,2,2,1,1,1,4,1,3,0,0,0,1
1440,-4,1,0,-4,0,0,-4,0,6,7,2,3,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,1,3,4,1,1,1,1,2,2,2,2,2,0,0,1,1
1441,2,-4,-4,-4,-4,-4,-4,-4,6,2,3,1,-4,0,-4,-4,-4,1,-4,-4,-4,-4,1,0,-4,2,1,3,4,2,2,1,2,2,3,4,2,1,0,1,1
1442,-4,1,1,7,1,0,-4,0,6,3,2,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1443,-4,0,1,6,0,0,-4,1,6,7,2,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1444,-4,-4,1,6,0,0,-4,0,6,2,5,2,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,1,-4,2,4,4,1,4,3,1,2,4,4,4,1,0,0,-4
1445,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,3,1,3,3,4,1,2,1,1,3,3,2,1,0,0,1
1446,-4,1,1,1,0,0,-4,0,2,6,0,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1447,-4,1,1,0,0,1,1,1,6,4,2,1,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,0,-4,3,1,4,1,4,4,3,3,2,3,1,3,0,1,0,-4
1448,-4,1,1,-2,0,0,-4,1,6,2,3,1,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,1,-4,-4,1,4,3,3,1,2,1,4,1,3,3,0,0,1,1
1449,3,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-4,0,-4,1,-4,-4,-4,-4,2,0,-4,3,1,2,2,1,1,3,4,1,3,3,3,0,1,0,0
1450,-4,1,1,0,0,0,-4,0,6,7,4,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1451,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1452,2,-4,-4,-4,-4,-4,-4,-4,6,7,5,1,-4,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1453,-4,1,1,8,0,0,-4,0,6,5,3,3,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1454,3,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,0,-4,-4,3,2,3,2,4,2,3,1,3,4,3,0,0,0,-4
1455,-4,1,1,6,0,0,-4,0,6,7,5,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1456,2,-4,-4,-4,-4,-4,-4,-4,6,2,0,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1457,3,-4,-4,-4,-4,-4,-4,-4,6,2,6,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1458,-4,0,1,2,0,0,-4,0,6,1,3,2,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,1,-4,3,2,1,1,1,1,1,1,1,2,4,1,0,0,1,0
1459,-4,0,1,1,0,0,-4,0,6,7,0,1,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,0,-4,3,1,3,2,2,3,3,2,2,2,2,2,0,0,0,0
1460,2,-4,-4,-4,-4,-4,-4,-4,6,5,3,2,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,0,1,-4,2,3,2,4,4,3,3,1,3,3,3,0,1,1,0
1461,1,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,1,0,-4,-4,-4,1,-4,-4,-4,-4,1,0,-4,3,1,2,1,2,1,2,2,1,3,4,2,0,0,1,1
1462,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,1,0,-4,-4,-4,1,-4,-4,-4,-4,1,0,-4,2,1,4,1,4,3,1,2,1,1,1,1,0,0,1,0
1463,-4,0,0,-4,0,1,3,0,6,8,4,2,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,0,-4,3,2,2,2,3,1,2,2,1,4,3,3,0,1,1,1
1464,2,-4,-4,-4,-4,-4,-4,-4,6,3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,1,2,4,2,2,4,1,3,2,3,3,4,0,0,0,1
1465,3,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,0,-4,1,4,3,1,1,4,2,3,1,3,3,3,0,0,1,1
1466,2,-4,-4,-4,-4,-4,-4,-4,6,3,4,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1467,-4,0,1,0,0,0,-4,1,6,5,0,2,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,1,-4,3,1,3,2,1,1,3,2,1,3,2,1,1,0,1,1
1468,-4,1,1,6,0,0,-4,1,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,3,2,2,1,4,1,4,2,1,3,1,1,0,0,1,1
1469,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,2,2,1,1,1,3,1,1,3,3,2,0,0,1,1
1470,-4,1,1,6,0,1,2,0,6,7,2,3,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,1,4,3,4,1,1,1,2,1,3,3,3,0,0,1,1
1471,-4,0,1,13,0,0,-4,1,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1472,2,-4,-4,-4,-4,-4,-4,-4,6,8,7,3,-4,-4,-4,-4,-4,1,1,2,1,3,2,1,-4,3,1,4,1,1,1,1,4,1,2,1,4,1,1,0,0
1473,2,-4,-4,-4,-4,-4,-4,-4,6,2,8,2,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,-4,2,4,2,4,4,2,3,4,4,1,4,0,0,0,1
1474,2,-4,-4,-4,-4,-4,-4,-4,6,7,5,1,0,-4,-4,1,-4,1,-4,-4,-4,-4,-4,0,-4,1,1,3,4,4,2,2,2,2,3,4,3,0,1,0,1
1475,-4,0,1,0,1,0,-4,1,6,7,2,1,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,1,3,2,1,1,1,1,1,1,2,1,0,0,1,1
1476,3,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,3,2,2,1,2,1,1,2,3,4,3,0,0,0,0
1477,2,-4,-4,-4,-4,-4,-4,-4,6,4,7,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1478,2,-4,-4,-4,-4,-4,-4,-4,6,5,0,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1479,-4,1,1,7,0,0,-4,0,2,5,2,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1480,-4,1,1,0,0,0,-4,0,2,5,2,2,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,1,-4,3,1,1,4,2,1,3,3,3,3,1,3,0,0,0,1
1481,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1482,1,-4,-4,-4,-4,-4,-4,-4,6,7,5,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1483,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1484,2,-4,-4,-4,-4,-4,-4,-4,6,5,3,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1485,2,-4,-4,-4,-4,-4,-4,-4,6,2,4,2,-4,-4,0,-4,-4,-4,1,1,3,2,-4,1,-4,2,3,3,1,1,2,3,2,1,3,1,4,0,0,1,1
1486,2,-4,-4,-4,-4,-4,-4,-4,6,4,6,2,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,1,-4,1,1,4,4,4,3,4,3,3,3,2,3,1,1,0,1
1487,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1488,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,2,0,-4,-4,-4,0,-4,-4,-4,-4,-4,1,-4,-4,4,3,3,3,3,1,2,1,3,4,3,0,0,1,1
1489,-4,0,1,0,0,1,1,0,6,3,2,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1490,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,0,0,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,3,2,2,-4,2,2,2,2,2,2,3,-4,1,0,1,0
1491,-4,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,2,1,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,1,1,1,2,3,2,1,1,3,3,2,2,0,0,1,1
1492,2,-4,-4,-4,-4,-4,-4,-4,6,2,7,2,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,1,2,3,3,4,1,4,1,3,3,2,3,1,0,1,1
1493,2,-4,-4,-4,-4,-4,-4,-4,6,4,5,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1494,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1495,2,-4,-4,-4,-4,-4,-4,-4,6,2,2,1,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,1,1,3,2,1,4,4,1,2,2,2,3,0,0,0,-4
1496,2,-4,-4,-4,-4,-4,-4,-4,6,4,3,2,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,2,1,1,1,4,1,1,1,4,1,4,1,0,0,0
1497,-4,1,1,6,0,0,-4,0,6,5,7,3,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,1,2,3,3,3,4,1,2,3,1,2,0,0,1,0
1498,-4,0,1,6,0,0,-4,0,6,5,2,1,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,3,1,2,1,1,1,1,2,2,2,1,2,0,0,0,1
1499,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,1,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,2,2,2,3,2,2,2,2,3,3,3,3,0,0,1,0
1500,2,-4,-4,-4,-4,-4,-4,-4,6,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,2,2,1,1,3,3,1,1,2,3,2,0,0,0,1
1501,2,-4,-4,-4,-4,-4,-4,-4,6,3,2,2,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,1,2,2,3,1,1,1,1,2,2,2,0,0,0,1
1502,2,-4,-4,-4,-4,-4,-4,-4,6,2,0,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,0,-4,3,1,3,2,1,1,1,1,1,3,2,3,0,0,0,1
1503,2,-4,-4,-4,-4,-4,-4,-4,6,3,5,2,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,1,3,2,2,3,2,2,2,3,3,3,3,0,1,0,0
1504,1,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,1,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,3,2,2,2,2,1,2,2,2,3,3,3,0,0,0,1
1505,2,-4,-4,-4,-4,-4,-4,-4,6,7,2,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1506,-4,0,0,-4,0,0,-4,0,6,7,4,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,0,-4,3,1,2,3,4,2,1,1,2,3,4,3,1,1,1,0
1507,2,-4,-4,-4,-4,-4,-4,-4,6,3,0,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1508,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,0,0,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,1,2,3,4,4,3,3,2,2,4,4,3,0,0,0,0
1509,2,-4,-4,-4,-4,-4,-4,-4,6,8,3,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1510,-4,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,2,0,-4,-4,-4,0,-4,-4,-4,-4,-4,1,-4,3,3,1,1,1,1,1,1,1,3,4,2,0,0,0,0
1511,2,-4,-4,-4,-4,-4,-4,-4,6,3,8,1,-4,-4,-4,1,-4,0,-4,-4,-4,-4,1,1,-4,3,3,1,1,2,1,1,1,1,3,4,2,1,0,0,0
1512,2,-4,-4,-4,-4,-4,-4,-4,6,2,5,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,-4,1,-4,1,2,2,2,3,2,3,2,2,2,4,2,1,0,0,1
1513,2,-4,-4,-4,-4,-4,-4,-4,6,2,1,1,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,1,0,-4,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0
1514,-4,0,1,0,0,1,3,0,2,-4,-4,-4,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,3,2,2,1,1,1,2,1,1,3,2,2,0,0,1,0
1515,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,0,0,-4,-4,-4,1,1,1,1,2,1,1,-4,3,2,3,2,2,2,2,1,1,2,3,3,0,1,1,0
1516,1,-4,-4,-4,-4,-4,-4,-4,3,3,1,2,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,3,1,1,1,1,1,2,1,1,3,1,2,1,0,0,0
1517,-4,1,1,7,1,0,-4,0,3,4,2,1,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,1,1,-4,3,2,4,3,4,4,2,3,2,4,3,3,1,0,0,1
1518,-4,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,2,0,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,3,1,1,1,1,1,1,1,1,1,4,1,0,0,1,1
1519,-4,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,2,0,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,3,2,2,1,1,1,1,1,1,3,3,3,0,0,1,1
1520,-4,1,1,0,0,0,-4,0,6,-4,-4,-4,0,0,-4,-4,-4,-4,-4,-4,-4,-4,1,0,-4,3,2,3,2,2,2,1,1,1,3,2,1,0,0,1,0
1521,-4,0,1,-2,0,0,-4,0,6,5,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,3,1,1,1,1,1,1,1,1,2,4,1,0,0,1,0
1522,-4,0,1,6,0,0,-4,0,1,5,2,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1523,-4,0,1,6,0,0,-4,0,1,-4,-4,-4,0,0,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,3,1,1,1,4,1,1,-4,1,4,4,4,0,0,1,1
1524,-4,1,1,6,0,0,-4,0,6,2,-4,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1525,2,-4,-4,-4,-4,-4,-4,-4,6,4,5,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1526,2,-4,-4,-4,-4,-4,-4,-4,6,2,8,1,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,0,-4,1,1,4,1,1,1,4,3,1,1,4,1,0,0,0,0
1527,2,-4,-4,-4,-4,-4,-4,-4,6,2,0,1,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,1,1,3,2,2,4,1,1,1,3,2,2,1,0,1,0
1528,-4,1,1,7,0,0,-4,0,6,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,3,4,4,3,4,4,2,2,3,3,4,3,1,0,0,0
1529,2,-4,-4,-4,-4,-4,-4,-4,6,2,5,2,0,0,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,1,2,1,2,2,2,1,1,2,2,1,0,0,1,0
1530,2,-4,-4,-4,-4,-4,-4,-4,6,2,1,1,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,3,3,4,3,2,1,1,2,1,3,3,2,1,0,0,1
1531,2,-4,-4,-4,-4,-4,-4,-4,6,3,2,2,-4,-4,-4,1,-4,1,-4,-4,-4,-4,-4,0,-4,-4,2,3,2,2,1,2,2,2,2,2,2,0,0,0,1
1532,2,-4,-4,-4,-4,-4,-4,-4,6,3,3,1,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,1,-4,2,1,1,3,2,1,3,3,2,3,3,3,0,0,0,1
1533,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1534,2,-4,-4,-4,-4,-4,-4,-4,6,4,8,1,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,0,0,-4,1,1,2,1,1,3,1,1,1,1,1,1,0,0,-4
1535,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,2,1,-4,-4,-4,0,-4,-4,-4,-4,-4,1,-4,1,1,1,1,1,1,1,1,1,1,2,1,0,0,1,1
1536,2,-4,-4,-4,-4,-4,-4,-4,6,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,1,1,2,4,4,1,4,2,4,3,1,2,1,1,0,1
1537,2,-4,-4,-4,-4,-4,-4,-4,6,7,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,1,4,3,1,1,2,3,3,2,2,3,2,0,1,0,-4
1538,-4,1,1,7,0,0,-4,0,6,2,2,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1539,-4,1,1,0,0,0,-4,0,6,7,0,3,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,0,-4,3,3,1,2,1,1,1,2,2,1,3,1,1,0,0,0
1540,3,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1541,2,-4,-4,-4,-4,-4,-4,-4,6,5,4,1,0,0,-4,-4,-4,1,-4,-4,-4,-4,1,0,-4,1,1,4,1,1,4,1,1,1,1,1,1,1,0,1,1
1542,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,1,2,2,1,4,2,1,1,1,4,1,1,1,0,1,0
1543,-4,1,1,0,0,0,-4,0,6,-4,-4,-4,0,0,1,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,3,2,1,4,3,4,2,3,3,4,4,4,1,1,0,0
1544,-4,0,1,6,0,0,-4,0,6,-4,-4,-4,0,0,-4,-4,-4,1,-4,-4,-4,-4,1,0,-4,3,3,1,2,1,2,1,2,1,3,4,3,0,0,1,1
1545,-4,1,1,6,0,0,-4,0,3,3,2,1,-4,-4,-4,1,-4,1,-4,-4,-4,-4,1,1,-4,1,2,1,2,1,1,2,2,2,3,2,2,1,0,1,1
1546,-4,1,1,6,0,0,-4,0,6,-4,-4,-4,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1547,-4,1,1,6,1,0,-4,0,6,2,3,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1548,-4,1,1,10,0,0,-4,0,6,-4,-4,-4,0,0,-4,-4,-4,0,-4,-4,-4,-4,1,1,-4,3,1,1,1,2,1,2,2,1,3,1,2,1,0,1,0
1549,2,-4,-4,-4,-4,-4,-4,-4,6,7,3,4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1550,2,-4,-4,-4,-4,-4,-4,-4,6,4,8,2,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1551,2,-4,-4,-4,-4,-4,-4,-4,6,2,5,2,-4,-4,1,-4,-4,-4,3,2,3,3,-4,1,-4,3,1,2,1,1,1,1,1,1,2,2,2,0,0,0,1
1552,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,1,0,-4,3,2,2,1,2,3,2,1,1,2,2,0,0,0,0
1553,2,-4,-4,-4,-4,-4,-4,-4,6,4,2,2,0,0,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,2,1,1,4,1,1,2,2,4,4,2,0,1,0,1
1554,2,-4,-4,-4,-4,-4,-4,-4,6,2,2,2,-4,-4,-4,1,-4,1,1,1,3,2,-4,1,-4,3,2,3,1,1,3,4,2,1,4,1,4,1,0,0,1
1555,-4,0,1,6,0,0,-4,0,6,-4,-4,-4,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,2,2,2,4,2,2,1,2,3,3,-4,1,1,1,1
1556,-4,0,0,-4,1,0,-4,0,6,2,3,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,0,-4,1,1,3,2,2,2,1,1,1,2,1,2,0,0,1,1
1557,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,1,-4,1,1,4,1,1,1,1,1,1,2,4,1,0,0,0,0
1558,2,-4,-4,-4,-4,-4,-4,-4,6,3,5,2,-4,-4,-4,0,-4,1,2,2,3,3,-4,1,-4,3,2,4,2,1,1,2,2,1,2,3,3,0,0,1,1
1559,-4,0,1,8,1,1,3,0,6,3,2,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,0,-4,3,1,2,2,1,1,2,2,2,2,3,2,0,0,1,1
1560,-4,1,1,11,0,0,-4,0,6,7,4,2,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,-4,2,4,1,1,1,2,1,1,2,1,1,1,1,0,-4
1561,3,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,1,1,1,3,2,4,1,2,1,2,1,2,0,1,0,-4
1562,3,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,0,0,-4,2,3,3,2,1,3,2,2,3,2,2,0,0,0,0
1563,-4,1,1,11,1,0,-4,0,6,2,2,2,-4,-4,-4,0,-4,1,-4,-4,-4,-4,1,0,-4,3,3,4,2,2,4,1,2,2,3,3,3,0,0,0,1
1564,-4,1,1,6,0,0,-4,0,3,-4,-4,-4,0,1,-4,-4,-4,0,-4,-4,-4,-4,-4,1,-4,3,1,4,4,4,2,2,1,4,3,4,2,0,0,1,1
1565,2,-4,-4,-4,-4,-4,-4,-4,6,3,4,1,-4,-4,-4,-4,-4,1,3,1,3,1,1,1,-4,3,1,4,2,2,1,1,2,1,2,2,2,0,0,0,1
1566,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,0,1,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,3,4,4,4,2,2,1,1,1,3,3,3,0,0,0,1
1567,2,-4,-4,-4,-4,-4,-4,-4,6,4,5,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
